Media Title,Media Link,Description,Author,Module Category,Media Type,Media Topics Covered,Language
 Análisis exploratorio de datos (EDA),https://es.r4ds.hadley.nz/an%C3%A1lisis-exploratorio-de-datos-eda.html,"Este capítulo te mostrará cómo usar la visualización y la transformación para explorar tus datos de manera sistemática, una tarea que las personas de Estadística suelen llamar análisis exploratorio de datos, o EDA (por sus siglas en inglés exploratory data analysis).",Hadley Wickham y Garrett Grolemund,Research & Practice,"Research Guide,Tutorial","R,Data Visualization",Spanish
 Transformación de Datos con R,https://es.r4ds.hadley.nz/transform.html,Aprenda a transformar sus datos usando el paquete dplyr y usando un nuevo conjunto de datos sobre vuelos de salida desde la ciudad de Nueva York en el año 2013.,Hadley Wickham y Garrett Grolemund,Research & Practice,"Research Guide,Tutorial","R,Data Visualization",Spanish
"¿Qué pasa, HSIs?",https://www.ginaanngarcia.com/podcast,"Join the ¿Qué pasa, HSIs? podcast, as we explore the history and evolution of HSIs, culturally relevant and liberatory practices in HSIs, current and emerging research with HSIs, and the policies that shape servingness.",,Learn & Teach,Podcast,Diversity,English
10 Minutes to Pandas,https://pandas.pydata.org/docs/user_guide/10min.html,"This is a short introduction to pandas, geared mainly for new users. ",Pandas,Learn & Teach,Article or Journal,"Coding,Python,Pandas",English
19 Data Science Case Study Interview Questions with Solutions,https://www.interviewquery.com/p/data-science-case-study-interview-questions,"Case studies are often the most challenging aspect of data science interview processes. They are crafted to resemble a company’s existing or previous projects, assessing a candidate’s ability to tackle prompts, convey their insights, and navigate obstacles.",Interview Query,Network & Explore,Article or Journal,"Case Studies,Data Science Careers",English
40 Questions on Probability for Data Science,https://www.analyticsvidhya.com/blog/2017/04/40-questions-on-probability-for-all-aspiring-data-scientists/,"Probability forms the backbone of many important data science concepts from inferential statistics to Bayesian networks. Mastering statistics begins with probability. This skilltest will help you identify your skill level in probability.
",Analytics Vidhya,Learn & Teach,Data Science Challenge / Project,"Statistics,Math Fundamentals,Probability",English
100+ Data Science Projects in Python for Beginners,https://python.plainenglish.io/85-data-science-projects-c03c8750599e,"Working on data science projects and case studies will help you improve your data science skills. If you’re struggling to come up with data science project ideas and how to start and end a data science project, this article is for you.",Aman Kharwal,Research & Practice,"Article or Journal,Data Science Challenge / Project","Python,Coding",English
120 Data Science Interview Questions - Probability,https://github.com/kojino/120-Data-Science-Interview-Questions/blob/master/probability.md,Prepare for your next job interview by reviewing these data science questions,Dvddn,Network & Explore,Career Resources,"Data Science Careers,Probability",English
200+ Machine Learning Tutorials,https://medium.com/machine-learning-in-practice/over-200-of-the-best-machine-learning-nlp-and-python-tutorials-2018-edition-dd8cf53cb7dc,A detailed list of tutorials on Machine Learning. Tutorials are helpful when you’re trying to learn a specific niche topic or want to get different perspectives.,Robbie Allen,Learn & Teach,Tutorial,"Machine Learning,Natural Language Processing (NLP)",English
"A Beginner’s Guide to Apache Spark
",https://towardsdatascience.com/a-beginners-guide-to-apache-spark-ff301cb4cd92,"Apache Spark vs. Hadoop MapReduce — pros, cons, and when to use which
","Towards Data Science,Dilyan Kovachev",Learn & Teach,Article or Journal,"Coding,Data Analysis,Apache",English
